,id,followers,genres,name,popularity
148858,4IKVDbCSBTxBeAsMKjAuTs,9250478.0,"['desi pop', 'filmi', 'modern bollywood']",Armaan Malik,72
142831,07YZf4WDAMNwqr4jfgOZ8y,9223795.0,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",Jason Derulo,88
145082,58lV9VcRSjABbAbfWS6skp,9171614.0,"['glam metal', 'hard rock', 'rock']",Bon Jovi,81
144516,13ubrt8QOOCPljQ2FL1Kca,9024285.0,"['east coast hip hop', 'hip hop', 'rap', 'trap']",A$AP Rocky,86
145030,3e7awlrlDSwF3iM0WBjGMp,8958639.0,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",Little Mix,84
144563,59jlthNnbmim5l9tmNA7se,8900264.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",Maiara & Maraisa,77
143817,26dSoYclwsYLMAKD3tpOr4,8877968.0,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",Britney Spears,84
145035,4UXqAaa6dQYAk18Lv7PEgX,8743699.0,"['emo', 'modern rock', 'pop punk']",Fall Out Boy,83
145091,2wUjUUtkb5lvLKcGKsKqsR,8717631.0,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'r&b']",Alessia Cara,81
145810,7n2Ycct7Beij7Dj7meI4X0,8676701.0,"['k-pop', 'k-pop girl group']",TWICE,83
145096,7jy3rLJdDQY21OgRLCZ9sD,8658789.0,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",Foo Fighters,81
145071,1Xylc3o4UrD53lo9CvFvVg,8648195.0,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",Zara Larsson,82
143820,23zg3TcAtWQy7J6upgbUnj,8618393.0,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",Usher,84
145943,2Z0lRIqr997lIUiPtrpKCr,8613017.0,"['pop nacional', 'sertanejo pop', 'sertanejo universitario']",Matheus & Kauan,79
142331,3DiDSECUqqY1AuBP8qtaIa,8565325.0,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",Alicia Keys,82
144176,2gsggkzM5R49q6jpPvazou,8500234.0,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'viral pop']",Jessie J,76
243973,0c173mlxpT3dSFRgMO8XPh,8362537.0,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Big Sean,85
